rodent_record_id,study_id,scientificName,eventDate,locality,country,verbatimLocality,coordinate_resolution,decimalLatitude,decimalLongitude,individualCount,trapEffort,trapEffortResolution,study_area_kmsq,estimated_yn
req_1,req_1,Rattus novergicus,2014-09-18/2014-10-02,AV-B,Argentina,Alto Verde,site,,,,,,,
req_2,req_1,Mus musculus,2015-09-25/2015-10-08,AV-B,Argentina,Alto Verde,site,,,,,,,
req_3,req_1,Mus musculus,2015-09-25/2015-10-08,AV-B,Argentina,Alto Verde,site,,,,,,,
req_4,req_1,Mus musculus,2015-09-25/2015-10-08,AV-B,Argentina,Alto Verde,site,,,,,,,
req_5,req_1,Mus musculus,2015-09-25/2015-10-08,AV-B,Argentina,Alto Verde,site,,,,,,,
req_6,req_1,Mus musculus,2015-03-19/2015-04-10,AV-C,Argentina,Alto Verde,site,,,,,,,
req_7,req_1,Mus musculus,2015-03-19/2015-04-10,AV-C,Argentina,Alto Verde,site,,,,,,,
req_8,req_1,Oligoryzomys flavescens,2015-03-19/2015-04-10,AV-C,Argentina,Alto Verde,site,,,,,,,
req_9,req_1,Mus musculus,2015-03-19/2015-04-10,AV-C,Argentina,Alto Verde,site,,,,,,,
req_10,req_1,Mus musculus,2015-03-19/2015-04-10,AV-C,Argentina,Alto Verde,site,,,,,,,
req_11,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_12,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_13,req_1,Mus musculus,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_14,req_1,Mus musculus,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_15,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_16,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_17,req_1,Oligoryzomys nigripes,2015-09-25/2015-10-08,AV-C,Argentina,Alto Verde,site,,,,,,,
req_18,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_19,req_1,Oligoryzomys flavescens,2015-03-19/2015-04-10,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_20,req_1,Mus musculus,2015-03-19/2015-04-10,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_21,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_22,req_1,Mus musculus,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_23,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_24,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_25,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_26,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_27,req_1,Cavia aperea,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_28,req_1,Holochilus chacarius,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_29,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_30,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_31,req_1,Cavia aperea,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_32,req_1,Rattus rattus,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_33,req_1,Cavia aperea,2015-09-25/2015-10-08,CS-B,Argentina,Colastiné Sur,site,,,,,,,
req_34,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,CS-C,Argentina,Colastiné Sur,site,-31.65904462,-60.59012862,,,,,
req_35,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-C,Argentina,Colastiné Sur,site,-31.65904462,-60.59012862,,,,,
req_36,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-C,Argentina,Colastiné Sur,site,-31.65904462,-60.59012862,,,,,
req_37,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,CS-C,Argentina,Colastiné Sur,site,-31.65904462,-60.59012862,,,,,
req_38,req_1,Akodon azarae,2015-09-25/2015-10-08,CS-N,Argentina,Colastiné Sur,site,,,,,,,
req_39,req_1,Oligoryzomys nigripes,2015-09-25/2015-10-08,CS-N,Argentina,Colastiné Sur,site,,,,,,,
req_40,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,CS-N,Argentina,Colastiné Sur,site,,,,,,,
req_41,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_42,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_43,req_1,Oligoryzomys nigripes,2014-09-18/2014-10-02,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_44,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_45,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_46,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_47,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_48,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_49,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_50,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_51,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_52,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_53,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_54,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_55,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-B,Argentina,Los Zapallos,site,,,,,,,
req_56,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_57,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_58,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_59,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_60,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_61,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_62,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_63,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_64,req_1,Oligoryzomys flavescens,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_65,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_66,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_67,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_68,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_69,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_70,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_71,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_72,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_73,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_74,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_75,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_76,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_77,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_78,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_79,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_80,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_81,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_82,req_1,Akodon azarae,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_83,req_1,Scapteromys aquaticus,2015-03-19/2015-04-10,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_84,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_85,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_86,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_87,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_88,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_89,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_90,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_91,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_92,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_93,req_1,Cavia aperea,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_94,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_95,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_96,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_97,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_98,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_99,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_100,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_101,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_102,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_103,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_104,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,LZ-C,Argentina,Los Zapallos,site,,,,,,,
req_105,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_106,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_107,req_1,Akodon azarae,2014-09-18/2014-10-02,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_108,req_1,Rattus rattus,2014-09-18/2014-10-02,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_109,req_1,Scapteromys aquaticus,2014-09-18/2014-10-02,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_110,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_111,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_112,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_113,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_114,req_1,Scapteromys aquaticus,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_115,req_1,Cavia aperea,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_116,req_1,Oligoryzomys flavescens,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_117,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_118,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
req_119,req_1,Akodon azarae,2015-09-25/2015-10-08,LZ-N,Argentina,Los Zapallos,site,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
